arm,step,topic,opinion_score
control,200,abortion,0.17946
control,200,family,0.3878
control,200,gender_sexuality,0.2839
control,200,politics_trust,0.36875
control,200,environment,0.28826
control,200,healthcare,0.34535
control,200,religion,0.38633
control,200,immigration,0.398
control,200,crime,0.38337
control,200,drugs_alcohol,0.1928
control,200,death_endoflife,0.53283
control,231,other,0.37117
control,231,race,0.37845
control,231,guns,0.42924
control,231,economy,0.37664
control,231,technology,0.33369
control,231,abortion,0.17908
control,231,family,0.38561
control,231,gender_sexuality,0.28478
control,231,politics_trust,0.36646
control,231,environment,0.28757
control,231,healthcare,0.34221
control,231,religion,0.38244
control,231,immigration,0.39652
control,231,crime,0.38005
control,231,drugs_alcohol,0.1872
control,231,death_endoflife,0.53243
control,232,other,0.37117
control,232,race,0.37845
control,232,guns,0.42924
control,232,economy,0.37664
control,232,technology,0.33369
control,232,abortion,0.17908
control,232,family,0.38561
control,232,gender_sexuality,0.28478
control,232,politics_trust,0.36646
control,232,environment,0.28757
control,232,healthcare,0.34221
control,232,religion,0.38244
control,232,immigration,0.39652
control,232,crime,0.38005
control,232,drugs_alcohol,0.1872
control,232,death_endoflife,0.53243
