arm,step,topic,opinion_score
rights,160,environment,0.41833
rights,160,healthcare,0.43668
rights,160,religion,0.51914
rights,160,immigration,0.51712
rights,160,crime,0.66725
rights,160,drugs_alcohol,0.76851
rights,160,death_endoflife,0.67133
rights,200,other,0.52053
rights,200,race,0.53711
rights,200,guns,0.4652
rights,200,economy,0.5418
rights,200,technology,0.48845
rights,200,abortion,0.51715
rights,200,family,0.54076
rights,200,gender_sexuality,0.49708
rights,200,politics_trust,0.52306
rights,200,environment,0.43689
rights,200,healthcare,0.45676
rights,200,religion,0.53369
rights,200,immigration,0.52821
rights,200,crime,0.67541
rights,200,drugs_alcohol,0.80293
rights,200,death_endoflife,0.65853
rights,240,other,0.52305
rights,240,race,0.53973
rights,240,guns,0.46954
rights,240,economy,0.54309
rights,240,technology,0.4928
rights,240,abortion,0.52281
rights,240,family,0.54366
rights,240,gender_sexuality,0.50353
rights,240,politics_trust,0.52589
rights,240,environment,0.44258
rights,240,healthcare,0.46099
rights,240,religion,0.53556
rights,240,immigration,0.52802
rights,240,crime,0.68056
rights,240,drugs_alcohol,0.81063
rights,240,death_endoflife,0.65734
rights,255,other,0.52301
rights,255,race,0.53966
rights,255,guns,0.47006
rights,255,economy,0.54342
rights,255,technology,0.49101
rights,255,abortion,0.52334
rights,255,family,0.546
rights,255,gender_sexuality,0.50212
rights,255,politics_trust,0.52524
rights,255,environment,0.44162
rights,255,healthcare,0.45752
rights,255,religion,0.53612
rights,255,immigration,0.53005
rights,255,crime,0.67818
rights,255,drugs_alcohol,0.81059
rights,255,death_endoflife,0.65942
rights,256,other,0.52301
rights,256,race,0.53966
rights,256,guns,0.47006
rights,256,economy,0.54342
rights,256,technology,0.49101
rights,256,abortion,0.52334
rights,256,family,0.546
rights,256,gender_sexuality,0.50212
rights,256,politics_trust,0.52524
rights,256,environment,0.44162
rights,256,healthcare,0.45752
rights,256,religion,0.53612
rights,256,immigration,0.53005
rights,256,crime,0.67818
rights,256,drugs_alcohol,0.81059
rights,256,death_endoflife,0.65942
control,0,other,0.43845
control,0,race,0.58891
control,0,guns,0.56881
control,0,economy,0.45216
control,0,technology,0.30671
control,0,abortion,0.10177
control,0,family,0.54857
control,0,gender_sexuality,0.25388
control,0,politics_trust,0.39919
control,0,environment,0.21038
control,0,healthcare,0.46999
control,0,religion,0.43084
control,0,immigration,0.51884
control,0,crime,0.66932
control,0,drugs_alcohol,0.25006
control,0,death_endoflife,1.0
control,40,other,0.42339
control,40,race,0.42399
control,40,guns,0.45712
control,40,economy,0.42293
control,40,technology,0.4065
control,40,abortion,0.26139
control,40,family,0.43941
control,40,gender_sexuality,0.36831
control,40,politics_trust,0.41821
control,40,environment,0.33054
control,40,healthcare,0.35357
control,40,religion,0.41968
control,40,immigration,0.40952
control,40,crime,0.52868
control,40,drugs_alcohol,0.39098
control,40,death_endoflife,0.52001
control,80,other,0.38786
control,80,race,0.39575
control,80,guns,0.421
control,80,economy,0.38926
control,80,technology,0.35338
control,80,abortion,0.22856
control,80,family,0.3939
control,80,gender_sexuality,0.31565
control,80,politics_trust,0.38028
control,80,environment,0.28953
control,80,healthcare,0.33452
control,80,religion,0.36999
control,80,immigration,0.38697
control,80,crime,0.45331
control,80,drugs_alcohol,0.22358
control,80,death_endoflife,0.41954
control,120,other,0.43944
control,120,race,0.44303
control,120,guns,0.45614
control,120,economy,0.44767
control,120,technology,0.39522
control,120,abortion,0.34022
control,120,family,0.4397
control,120,gender_sexuality,0.38684
control,120,politics_trust,0.43654
control,120,environment,0.36685
control,120,healthcare,0.40152
control,120,religion,0.43288
control,120,immigration,0.45714
control,120,crime,0.54094
control,120,drugs_alcohol,0.39456
control,120,death_endoflife,0.47056
control,160,other,0.45334
control,160,race,0.45515
control,160,guns,0.4539
control,160,economy,0.46279
control,160,technology,0.40569
control,160,abortion,0.35021
control,160,family,0.45956
control,160,gender_sexuality,0.40929
control,160,politics_trust,0.45201
control,160,environment,0.39339
control,160,healthcare,0.41991
control,160,religion,0.44591
control,160,immigration,0.46452
control,160,crime,0.54738
control,160,drugs_alcohol,0.3964
control,160,death_endoflife,0.49777
control,200,other,0.46444
control,200,race,0.45937
control,200,guns,0.46755
control,200,economy,0.47085
control,200,technology,0.4186
control,200,abortion,0.37853
control,200,family,0.46948
control,200,gender_sexuality,0.43272
control,200,politics_trust,0.45714
control,200,environment,0.41647
control,200,healthcare,0.4344
control,200,religion,0.45843
control,200,immigration,0.47215
control,200,crime,0.5386
control,200,drugs_alcohol,0.38621
control,200,death_endoflife,0.4933
control,231,other,0.46459
control,231,race,0.46008
control,231,guns,0.46731
control,231,economy,0.47125
control,231,technology,0.41923
control,231,abortion,0.37431
control,231,family,0.46995
control,231,gender_sexuality,0.43985
control,231,politics_trust,0.45824
control,231,environment,0.42091
control,231,healthcare,0.43326
control,231,religion,0.46051
control,231,immigration,0.47282
control,231,crime,0.53821
control,231,drugs_alcohol,0.39271
control,231,death_endoflife,0.49799
control,232,other,0.46459
control,232,race,0.46008
control,232,guns,0.46731
control,232,economy,0.47125
control,232,technology,0.41923
control,232,abortion,0.37431
control,232,family,0.46995
control,232,gender_sexuality,0.43985
control,232,politics_trust,0.45824
control,232,environment,0.42091
control,232,healthcare,0.43326
control,232,religion,0.46051
control,232,immigration,0.47282
control,232,crime,0.53821
control,232,drugs_alcohol,0.39271
control,232,death_endoflife,0.49799
